,Area,YearBuilt,Rooms,Location,Price,Floor,BuildingAge
537,82,1382,2, کوی فردوس,7500000000,4,20
538,101,1397,2, کوی فردوس,11100000000,2,5
539,59,1391,2, اندیشه (شهر زیبا),1950000000,2,11
540,243,1392,3, زعفرانیه,60000000000,9,10
541,219,1397,3, پاسداران,41100000000,4,5
542,370,1397,4, پاسداران,90000000000,4,5
543,270,1397,4, پاسداران,48500000000,4,5
544,63,1387,1, نازی‌آباد,3500000000,0,15
545,50,1382,1, امیرآباد,4900000000,2,20
546,69,1394,2, هفت چنار,4700000000,1,8
547,240,1402,3, فرمانیه,52500000000,22,0
548,113,1394,2, جنت‌آباد مرکزی,12500000000,3,8
549,160,1401,3, پاسداران,28800000000,3,1
550,127,1390,2, آبشار تهران,7750000000,4,12
551,180,1402,3, پاسداران,44000000000,4,0
552,194,1402,3, پاسداران,22310000000,9,0
553,110,1389,2, ولنجک,18800000000,5,13
554,42,1397,1, خزانه,2145000000,1,5
555,67,1394,2, اندیشه (شهر زیبا),3370000000,2,8
556,170,1398,3, میرداماد,27000000000,4,4
557,255,1385,4, فرمانیه,38000000000,5,17
558,200,1401,3, زعفرانیه,60000000000,2,1
559,181,1392,3, پاسداران,29000000000,3,10
560,183,1392,3, نیاوران,33485000000,2,10
561,110,1401,2, پاسداران,14000000000,7,1
562,270,1396,3, نیاوران,62000000000,6,6
563,40,1402,1, سبلان,2820000000,2,0
564,67,1385,2, شهرک شهید باقری,5100000000,4,17
565,125,1391,3, سرو آزاد,9500000000,3,11
566,76,1396,1, هروی,9800000000,2,6
567,102,1385,2, شهران شمالی,10800000000,1,17
568,120,1385,2, سعادت‌آباد,16000000000,1,17
569,134,1397,2, کامرانیه,23200000000,1,5
570,89,1399,2, وحیدیه,6600000000,5,3
571,131,1382,2, شهرک غرب,30785000000,0,20
572,112,1402,2, صادقیه,2576000000,10,0
573,74,1382,2, جنت‌آباد جنوبی,7000000000,4,20
574,100,1402,2, دریاچه شهدای خلیج فارس,22000000000,15,0
575,151,1388,3, دروس,20450000000,5,14
576,100,1402,2, دریاچه شهدای خلیج فارس,2600000000,8,0
577,277,1391,4, دروس,34000000000,3,11
578,118,1402,2, قیطریه,29000000000,5,0
579,95,1370,2, سلسبیل,4700000000,0,32
580,97,1395,2, اختیاریه,13100000000,3,7
581,180,1388,3, الهیه,23000000000,5,14
582,111,1387,2, اختیاریه,13000000000,1,15
583,217,1402,3, پاسداران,34600000000,1,0
584,108,1380,2, زعفرانیه,18500000000,3,22
585,65,1386,2, شهرک کیانشهر,2200000000,0,16
586,183,1401,3, هروی,19800000000,7,1
587,136,1398,3, پاسداران,16700000000,4,4
588,140,1400,3, اباذر,18500000000,5,2
589,53,1395,1, سیزده آبان,2520000000,0,7
590,135,1399,2, ازگل,22950000000,9,3
591,110,1394,2, تاکسیرانی,10000000000,0,8
592,106,1396,2, جردن,14350000000,3,6
593,162,1402,3, اتابک,2695000000,0,0
594,125,1387,2, الهیه,18500000000,3,15
595,310,1402,4, الهیه,93000000000,6,0
596,41,1380,1, جی,2400000000,3,22
597,165,1402,3, کوی فردوس,18500000000,4,0
598,125,1402,2, آبشار تهران,3400000000,22,0
599,84,1397,2, جنت‌آباد شمالی,9590000000,5,5
600,65,1398,1, شهران جنوبی,6400000000,8,4
601,175,1397,3, هروی,27000000000,2,5
602,60,1386,1, فلاح,2070000000,1,16
603,86,1390,2, سازمان برنامه,8200000000,2,12
604,60,1392,1, دروس,9950000000,1,10
605,78,1386,2, سازمان برنامه,6880000000,1,16
606,240,1402,3, زعفرانیه,6700000000,2,0
607,51,1395,1, مولوی,2000000000,1,7
608,78,1399,2, مولوی,2490000000,4,3
609,53,1400,1, سعادت‌آباد,12000000000,3,2
610,90,1382,2, شهرک نفت (منطقه ۵),8500000000,2,20
611,88,1395,2, جنت‌آباد جنوبی,9200000000,5,7
612,115,1397,2, ستارخان,12300000000,4,5
613,137,1402,2, نیرو هوایی,12330000000,0,0
614,101,1386,2, جنت‌آباد مرکزی,9300000000,2,16
615,114,1401,2, هفت حوض,13700000000,4,1
616,80,1379,2, سازمان برنامه,8180000000,5,23
617,103,1388,2, سازمان برنامه,9700000000,2,14
618,45,1389,1, یافت‌آباد,2000000000,0,13
619,110,1402,2, دریاچه شهدای خلیج فارس,10000000000,4,0
620,61,1380,2, بهار,4900000000,2,22
621,120,1401,2, زعفرانیه,36000000000,3,1
622,40,1383,1, پیروزی,2750000000,0,19
623,64,1385,2, جنت‌آباد جنوبی,5800000000,3,17
624,60,1398,1, مبارک‌آباد بهشتی,2040000000,1,4
625,74,1392,1, دانشگاه شریف,5750000000,3,10
626,110,1402,2, آبشار تهران,3300000000,17,0
627,67,1397,1, مبارک‌آباد بهشتی,1740000000,3,5
628,112,1395,3, مرزداران,12500000000,4,7
629,44,1382,1, جنت‌آباد شمالی,5395000000,3,20
630,200,1399,3, نیاوران,39000000000,5,3
631,185,1402,3, سعادت‌آباد,46250000000,0,0
632,112,1402,2, دهکده المپیک,14000000000,2,0
633,540,1402,4, زعفرانیه,237600000000,8,0
634,82,1395,2, پونک,8250000000,2,7
635,98,1401,2, مرزداران,15700000000,1,1
636,102,1370,2, گیشا (کوی نصر),14000000000,0,32
637,455,1402,4, الهیه,160000000000,8,0
638,95,1392,2, بهار,8700000000,2,10
639,94,1394,2, سازمان برنامه,8900000000,2,8
640,117,1402,2, پاسداران,14500000000,7,0
641,129,1392,3, پونک,15800000000,4,10
642,123,1393,2, باغ فیض,11800000000,1,9
643,77,1395,2, کرمان,7500000000,0,7
644,112,1402,2, کوهک,1904000000,10,0
645,120,1394,2, کوی فردوس,13500000000,2,8
646,185,1401,3, فرمانیه,24050000000,8,1
647,112,1385,2, میرداماد,13850000000,3,17
648,103,1401,2, هروی,13900000000,7,1
649,180,1401,3, پاسداران,21600000000,6,1
650,210,1388,3, الهیه,40000000000,3,14
651,129,1401,2, پاسداران,17000000000,7,1
652,103,1383,2, پونک,12500000000,6,19
653,106,1402,2, مرزداران,14000000000,4,0
654,75,1402,2, مبارک‌آباد بهشتی,2175000000,2,0
655,150,1402,3, پیروزی,22500000000,3,0
656,88,1399,2, مبارک‌آباد بهشتی,2660000000,2,3
657,60,1380,1, بهارستان,3000000000,0,22
658,50,1401,1, پلیس,3400000000,3,1
659,108,1402,2, پاسداران,16200000000,3,0
660,70,1395,2, آبشار,5500000000,0,7
661,122,1393,2, گیشا (کوی نصر),16500000000,2,9
662,50,1391,1, پیروزی,4000000000,0,11
663,90,1402,2, اوقاف,1000000000,0,0
664,110,1397,2, گیشا (کوی نصر),18500000000,5,5
665,68,1390,2, پونک,7650000000,2,12
666,105,1392,2, دریان‌نو,12700000000,0,10
667,71,1394,2, گرگان,4828000000,2,8
668,103,1389,2, ایران,8500000000,0,13
669,110,1384,2, اباذر,8700000000,2,18
670,110,1402,2, یوسف‌آباد,17000000000,4,0
671,53,1392,1, شمیران‌نو,1250000000,0,10
672,150,1402,3, یوسف‌آباد,22000000000,5,0
673,58,1376,1, مجیدیه,3800000000,0,26
674,92,1402,2, یوسف‌آباد,16100000000,3,0
675,60,1389,1, خاوران,3000000000,4,13
676,145,1392,3, دریاچه شهدای خلیج فارس,12325000000,10,10
677,110,1401,2, شهرک راه‌آهن,1660000000,8,1
678,200,1402,3, یوسف‌آباد,40000000000,2,0
679,72,1395,2, جلیلی,3960000000,3,7
680,108,1393,3, هروی,13200000000,4,9
681,100,1402,2, مرزداران,18000000000,1,0
682,160,1401,3, نیاوران,21900000000,4,1
683,147,1395,3, پونک,23370000000,5,7
684,131,1401,2, هروی,15720000000,10,1
685,81,1392,2, تهرانپارس غربی,6500000000,1,10
686,86,1400,2, چیتگر,7350000000,22,2
687,92,1402,2, سعادت‌آباد,15200000000,6,0
688,50,1385,1, میدان حر,2800000000,2,17
689,170,1384,3, سعادت‌آباد,27250000000,5,18
690,62,1391,2, سعادت‌آباد,8550000000,4,11
691,62,1382,2, جیحون,3700000000,1,20
692,127,1401,3, پاتریس لومومبا,14700000000,1,1
693,150,1402,3, کامرانیه,32000000000,1,0
694,128,1402,3, شهرک غرب,23000000000,5,0
695,120,1383,2, سعادت‌آباد,16800000000,1,19
696,90,1370,2, چیذر,10800000000,3,32
697,77,1382,2, جیحون,4950000000,2,20
698,112,1402,2, هروی,14500000000,8,0
699,980,1402,2, صادقیه,137500000000,5,0
700,138,1402,3, چیتگر,1656000000,12,0
701,105,1393,2, جنت‌آباد جنوبی,10600000000,3,9
702,78,1402,2, وردآورد,5100000000,4,0
703,98,1384,2, گیشا (کوی نصر),11000000000,2,18
704,85,1386,2, صادقیه,2000000000,3,16
705,183,1399,3, فرمانیه,35000000000,3,3
706,194,1402,3, پاسداران,21922000000,11,0
707,131,1400,2, شهرک امید,16300000000,14,2
708,93,1402,2, چیتگر,8550000000,17,0
709,63,1392,1, تهران‌سر,4800000000,1,10
710,300,1401,3, ولنجک,90000000000,11,1
711,134,1388,2, شهرک راه‌آهن,11500000000,1,14
712,200,1397,3, الهیه,36000000000,6,5
713,90,1400,2, زنجان,6700000000,1,2
714,141,1401,3, سعادت‌آباد,38000000000,3,1
715,103,1402,2, پاسداران,12772000000,4,0
716,110,1389,2, نیاوران,15500000000,1,13
717,132,1395,3, کوی فردوس,12950000000,2,7
718,106,1402,2, هروی,13780000000,6,0
719,125,1397,2, پونک,12800000000,3,5
720,128,1402,2, دریاچه شهدای خلیج فارس,3200005000,6,0
721,106,1399,2, جنت‌آباد مرکزی,14390000000,6,3
722,130,1401,3, پاسداران,14650000000,7,1
723,94,1402,2, وردآورد,2300000000,8,0
724,90,1394,2, سلیمانی,4300000000,2,8
725,96,1401,2, مبارک‌آباد بهشتی,2750000000,2,1
726,110,1401,3, پاسداران,12700000000,6,1
727,167,1394,3, بهجت‌آباد,16800000000,4,8
728,140,1382,3, سعادت‌آباد,19000000000,1,20
729,110,1400,2, پاسداران,12750000000,3,2
730,100,1402,1, سرو آزاد,3350000000,24,0
731,55,1398,1, شهرک تختی,1705000000,2,4
732,183,1402,3, هروی,20679000000,4,0
733,130,1402,3, چیتگر,4220000000,20,0
734,111,1397,3, سعادت‌آباد,24000000000,5,5
735,88,1402,2, دولاب,5544000000,4,0
736,157,1401,3, سعادت‌آباد,28500000000,1,1
737,70,1388,2, ارم,6800000000,2,14
738,120,1397,3, ظفر,18000000000,4,5
739,100,1402,2, وردآورد,2400000000,11,0
740,86,1370,2, دولت‌آباد,4500000000,0,32
741,58,1402,2, تهران‌سر,4089000000,3,0
742,320,1402,4, دروس,90000000000,5,0
743,105,1371,2, قلهک,15000000000,0,31
744,44,1395,1, فلاح,2480000000,3,7
745,183,1402,3, هروی,20679000000,4,0
746,68,1381,2, المهدی,6250000000,2,21
747,51,1390,1, امیریه,2200000000,4,12
748,106,1402,2, هروی,13780000000,6,0
749,57,1387,1, امیریه,1980000000,3,15
750,52,1380,1, منیریه,2180000000,3,22
751,55,1384,1, امیر بهادر,2720000000,1,18
752,57,1387,1, امیریه,2350000000,1,15
753,52,1387,1, منیریه,2690000000,2,15
754,53,1382,1, امیر بهادر,1650000000,0,20
755,200,1382,3, قلهک,26600000000,3,20
756,65,1382,2, مشیریه,3050000000,1,20
757,42,1392,1, امیریه,2000000000,1,10
758,53,1398,1, اندیشه (شهر زیبا),950000000,1,4
759,50,1402,1, پونک,3900000000,4,0
760,100,1402,2, دریاچه شهدای خلیج فارس,2500000000,15,0
761,350,1401,4, نیاوران,83000000000,6,1
762,46,1399,1, سلسبیل,2530000000,2,3
763,117,1401,2, صادقیه,12390000000,1,1
764,63,1397,2, اندیشه (شهر زیبا),1260000000,2,5
765,60,1384,2, میدان حر,4200000000,5,18
766,155,1398,3, اراج,27000000000,3,4
767,67,1383,2, پونک,5760000000,5,19
768,133,1385,2, نیاوران,21500000000,3,17
769,230,1395,3, دروس,47000000000,5,7
770,86,1384,2, سازمان برنامه,6900000000,0,18
771,155,1399,3, سعادت‌آباد,33500000000,4,3
772,120,1402,2, دریاچه شهدای خلیج فارس,2150000000,10,0
773,127,1397,3, جنت‌آباد جنوبی,11880000000,4,5
774,98,1396,2, جنت‌آباد شمالی,9490000000,5,6
775,162,1402,3, دریاچه شهدای خلیج فارس,9500000000,19,0
776,64,1400,1, مبارک‌آباد بهشتی,1952000000,3,2
777,209,1400,4, الهیه,53000000000,4,2
778,44,1383,1, سلسبیل,2250000000,2,19
779,49,1399,1, مبارک‌آباد بهشتی,1750000000,1,3
780,70,1400,2, دیلمان,2000000000,1,2
781,60,1402,2," مبارک‌آباد بهشتی,خونه معامله نکن تا کارشناسیش نکردی",1920000000,2,0
782,145,1382,3, یوسف‌آباد,16600000000,6,20
783,90,1402,2, جنت‌آباد جنوبی,12680000000,5,0
784,98,1390,2, پونک,9500000000,1,12
785,95,1392,2, پونک,10500000000,3,10
786,110,1397,2, شهران جنوبی,11000000000,5,5
787,125,1399,2, جردن,16500000000,1,3
788,72,1402,2, مبارک‌آباد بهشتی,2016000000,2,0
789,155,1402,3, شهرک راه‌آهن,155000000000,3,0
790,71,1396,2, مبارک‌آباد بهشتی,2100000000,3,6
791,41,1396,1, فلاح,2050000000,1,6
792,70,1401,2, مبارک‌آباد بهشتی,1900000000,4,1
793,100,1402,2, دریاچه شهدای خلیج فارس,2200000000,15,0
794,187,1390,3, سعادت‌آباد,39000000000,3,12
795,84,1394,2, نازی‌آباد,7100000000,4,8
796,73,1396,1, ولنجک,17500000000,3,6
797,58,1395,1, کوی فردوس,5400000000,3,7
798,65,1396,2," جنت‌آباد جنوبی,خونه معامله نکن تا کارشناسیش نکردی",7150000000,1,6
799,46,1402,1, جیحون,2900000000,3,0
800,65,1402,1, خزانه,3900000000,5,0
801,104,1402,2, چیتگر,1300000000,11,0
802,122,1401,2, فرمانیه,15860000000,2,1
803,70,1374,2, زنجان,4900000000,3,28
804,120,1401,2, ولنجک,111111111111,6,1
805,119,1401,3, چیتگر,1654000000,14,1
806,108,1387,3, شهرک مسلمین,4644000000,3,15
807,68,1401,1, مبارک‌آباد بهشتی,1750000000,2,1
808,50,1384,1, بریانک,3100000000,2,18
809,62,1400,2, مبارک‌آباد بهشتی,1750000000,4,2
810,130,1398,3," هروی,خونه معامله نکن تا کارشناسیش نکردی",17500000000,7,4
811,73,1384,2, گیشا (کوی نصر),7300000000,1,18
812,81,1385,2, سعادت‌آباد,9800000000,3,17
813,90,1391,2, جنت‌آباد جنوبی,8600000000,3,11
814,80,1401,2, استاد معین,6200000000,4,1
815,150,1400,3, امانیه,24000000000,1,2
816,115,1399,2, یوسف‌آباد,18000000000,1,3
817,63,1400,1, مبارک‌آباد بهشتی,1926000000,3,2
818,103,1395,2, شهرک راه‌آهن,7620000000,1,7
819,157,1387,3, سعادت‌آباد,20000000000,2,15
820,125,1385,2, آجودانیه,19000000000,1,17
821,100,1397,2, درب دوم,14500000000,1,5
822,88,1401,2, اکباتان,10600000000,30,1
823,51,1390,1, جوادیه,2550000000,3,12
824,99,1375,1, شکوفه,4356000000,0,27
825,47,1380,1, مسعودیه,2000000000,2,22
826,68,1375,2, جنت‌آباد مرکزی,6800000000,1,27
827,107,1394,2, امیرآباد,20000000000,2,8
828,85,1402,2, سعادت‌آباد,16000000000,1,0
829,62,1400,2, مبارک‌آباد بهشتی,1750000000,4,2
830,71,1396,2, خواجه نظام الملک,5100000000,2,6
831,133,1381,3, ایران,10600000000,5,21
832,89,1400,2, مبارک‌آباد بهشتی,2403000000,2,2
833,75,1399,2, شهرک راه‌آهن,7600000000,1,3
834,50,1391,1, دریاچه شهدای خلیج فارس,1500000000,2,11
835,85,1387,2, ولنجک,16200000000,9,15
